"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"1","11/08/1995","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?ID=P940029"", ""P940029"")","PAPNET Testing System","Neuromedical Systems, Inc.","Pathology","MNM"
"2","03/11/1997","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K955841"", ""K955841"")","Compumedics Sleep Monitoring System","Computmedics Sleep Pty. Ltd.","Anesthesiology","MNR"
"3","06/26/1998","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?ID=P970058"", ""P970058"")","M1000 IMAGECHECKER","Hologic, Inc.","Radiology","MYN"
"4","03/15/2001","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003301"", ""K003301"")","DiffMaster Octavia Automatic Hematology Analyzer","CellaVision AB","Hematology","JOY"
"5","02/10/2004","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033840"", ""K033840"")","CellaVision DM96 Automatic Hematology Analyzer","Cella Vision AB","Hematology","JOY"
"6","10/27/2005","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K043341"", ""K043341"")","BioPlex 2200 ANA Screen with Medical Decision Support Software for Use with BioPlex 2200 Multi-Analyte Detection System","Bio-Rad Laboratories, Inc.","Immunology","NVI"
"7","05/15/2008","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K080762"", ""K080762"")","IB Neuro, Version 1.0","Imaging Biometrics, LLC","Radiology","LNH"
"8","07/17/2008","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K081140"", ""K081140"")","Visensia","OBS Medical","Cardiovascular","MHX"
"9","07/30/2008","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K080896"", ""K080896"")","Pathwork Tissue of Origin Test","Pathwork Diagnostics Inc.","Pathology","OIW"
"10","09/12/2008","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K082483"", ""K082483"")","Quantra","Hologic, Inc.","Radiology","LLZ"
"11","12/05/2008","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K080595"", ""K080595"")","CellaVision DM96 with the body fluid application","Cella Vision AB","Hematology","JOY"
"12","05/12/2010","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K092116"", ""K092116"")","EasyCell","Medica Corporation","Hematology","JOY"
"13","06/08/2010","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K092967"", ""K092967"")","Pathwork Tissue Of Origin Test Kit-Ffpe","Pathwork Diagnostics","Pathology","OIW"
"14","09/16/2011","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K102778"", ""K102778"")","CellaVision® DM1200 with the body fluid application","CellaVision AB","Hematology","JOY"
"15","12/28/2011","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K111776"", ""K111776"")","DeltaView Model 2.1","Riverain Medical Group,Llc","Radiology","LLZ"
"16","04/13/2012","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K120161"", ""K120161"")","AlphaPoint Imaging Software","RadLogics, Inc.","Radiology","LLZ"
"17","05/17/2012","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K120489"", ""K120489"")","Tissue of Origin Test Kit FFPE","Pathwork Diagnostics, Inc.","Pathology","OIW"
